"Município";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";" Total"
"110001 ALTA FLORESTA D\'OESTE";"0";"10,21";"91,44";"90,02";"111,54";"97,46";"96,02";"111,13";"146,45";"112,81";"106,94";"102,06";"98,97";"90,23";"100,00";"116,58";"103,93";"103,52";"112,32";"103,68";"136,44";"99,72";"99,18";"123,12";"89,93";"99,29"
"110002 ARIQUEMES";"0";"22,46";"128,40";"128,31";"155,59";"120,76";"127,45";"124,32";"169,74";"89,93";"100,53";"93,29";"96,76";"111,00";"134,58";"155,16";"103,39";"106,01";"96,66";"94,71";"103,94";"93,10";"76,11";"86,07";"67,70";"107,28"
"110003 CABIXI";"0";"40,78";"100,70";"90,78";"117,02";"273,20";"103,33";"108,57";"98,97";"90,32";"125,45";"91,82";"85,45";"76,36";"74,44";"126,56";"137,84";"121,33";"158,67";"200,00";"180,60";"120,90";"82,50";"85,51";"67,86";"110,26"
"110004 CACOAL";"0";"19,24";"97,79";"103,62";"115,58";"102,59";"106,54";"106,21";"107,00";"101,00";"100,15";"102,58";"88,09";"98,41";"98,24";"102,50";"108,86";"101,30";"96,02";"106,50";"106,40";"102,75";"129,48";"103,92";"77,82";"98,89"
"110005 CEREJEIRAS";"0";"17,56";"117,94";"102,95";"129,17";"161,30";"102,31";"132,05";"97,53";"110,69";"126,27";"121,66";"118,89";"142,40";"105,31";"129,80";"107,75";"110,04";"104,42";"105,70";"124,19";"93,86";"117,30";"99,63";"74,29";"108,58"
"110006 COLORADO DO OESTE";"0";"21,48";"115,08";"95,92";"117,22";"126,47";"133,44";"122,10";"125,31";"109,51";"100,37";"92,67";"80,59";"83,52";"104,64";"176,64";"113,28";"123,08";"109,52";"58,30";"104,53";"99,18";"97,66";"108,87";"52,08";"101,57"
"110007 CORUMBIARA";"0";"98,81";"85,31";"69,23";"124,88";"177,44";"143,57";"164,17";"167,05";"106,03";"99,18";"131,97";"131,97";"104,10";"124,49";"119,83";"113,79";"106,40";"146,40";"100,72";"154,02";"158,62";"85,83";"72,90";"65,31";"116,12"
"110008 COSTA MARQUES";"0";"2,14";"77,66";"86,67";"132,62";"112,01";"82,51";"91,97";"105,12";"116,56";"106,75";"122,22";"92,06";"90,87";"101,95";"136,75";"103,85";"109,36";"111,24";"118,78";"132,41";"86,11";"84,55";"96,32";"73,75";"98,05"
"110009 ESPIGAO D\'OESTE";"0";"18,76";"99,07";"103,68";"132,12";"73,60";"89,40";"160,52";"227,97";"92,98";"94,71";"99,05";"24,01";"85,07";"86,90";"115,76";"103,24";"97,17";"91,11";"95,06";"100,75";"67,35";"95,33";"101,06";"93,07";"93,44"
"110010 GUAJARA-MIRIM";"0";"13,16";"70,66";"74,36";"92,75";"171,70";"96,78";"297,22";"80,32";"97,23";"96,97";"96,75";"96,86";"106,84";"121,03";"99,15";"116,09";"105,43";"67,39";"87,22";"168,05";"51,19";"60,44";"58,39";"45,69";"94,70"
