"Município";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";" Total"
"110001 ALTA FLORESTA D\'OESTE";"83,17";"107,25";"82,72";"98,83";"81,82";"100,00";"99,15";"79,66";"54,77";"43,54";"22,15";"80,81"
"110002 ARIQUEMES";"63,08";"122,27";"100,91";"95,93";"75,96";"84,00";"80,63";"73,67";"52,28";"54,15";"42,08";"78,19"
"110003 CABIXI";"38,89";"134,38";"125,68";"85,33";"29,33";"147,95";"165,67";"95,52";"78,75";"98,55";"53,57";"95,67"
"110004 CACOAL";"80,61";"92,01";"95,78";"84,09";"95,10";"79,97";"88,02";"57,85";"28,02";"60,45";"45,77";"74,33"
"110005 CEREJEIRAS";"106,19";"94,29";"94,83";"94,78";"99,20";"97,72";"119,86";"84,84";"94,94";"76,58";"44,76";"94,19"
"110006 COLORADO DO OESTE";"89,45";"148,60";"100,78";"91,94";"27,11";"72,20";"57,61";"85,60";"85,51";"70,44";"64,58";"81,21"
"110007 CORUMBIARA";"94,90";"92,24";"112,93";"98,40";"133,60";"79,86";"133,33";"114,94";"96,85";"73,83";"59,18";"100,26"
"110008 COSTA MARQUES";"24,12";"114,96";"101,71";"100,75";"65,54";"123,47";"100,00";"95,83";"61,37";"78,95";"55,00";"84,59"
"110009 ESPIGAO D\'OESTE";"71,77";"85,29";"100,43";"101,01";"75,76";"79,84";"77,49";"46,72";"2,67";"9,98";"23,76";"63,90"
"110010 GUAJARA-MIRIM";"55,65";"109,79";"107,24";"62,28";"53,26";"57,58";"78,03";"36,94";"19,33";"29,14";"13,51";"59,87"
"110011 JARU";"75,82";"160,40";"82,17";"73,13";"73,24";"75,84";"91,84";"65,84";"24,86";"31,84";"8,33";"71,88"
"110012 JI-PARANA";"60,67";"105,64";"91,32";"93,82";"76,56";"80,97";"76,05";"77,12";"53,35";"57,15";"49,33";"75,69"
"110013 MACHADINHO D\'OESTE";"53,43";"101,29";"158,76";"103,16";"86,79";"98,74";"76,61";"59,69";"19,80";"34,22";"35,38";"76,81"
"110014 NOVA BRASILANDIA D\'OESTE";"44,37";"91,88";"73,02";"87,01";"80,71";"61,96";"124,55";"103,57";"79,69";"98,26";"77,32";"82,61"
"110015 OURO PRETO DO OESTE";"58,00";"120,40";"92,03";"71,96";"70,62";"72,32";"80,97";"54,84";"1,58";"9,50";"3,12";"61,50"
"110018 PIMENTA BUENO";"82,49";"102,89";"103,61";"95,81";"77,39";"86,02";"88,94";"76,75";"54,55";"64,25";"60,25";"82,15"
"110020 PORTO VELHO";"82,47";"108,08";"83,53";"94,12";"90,24";"72,14";"75,09";"54,86";"39,95";"43,14";"33,02";"73,54"
"110025 PRESIDENTE MEDICI";"42,11";"176,54";"89,53";"114,53";"44,98";"105,43";"88,93";"59,17";"23,68";"18,92";"8,49";"73,42"
"110026 RIO CRESPO";"102,50";"114,63";"113,16";"100,00";"108,33";"125,71";"95,92";"102,04";"32,00";"81,25";"55,00";"93,44"
"110028 ROLIM DE MOURA";"98,82";"100,00";"98,41";"93,98";"56,71";"79,53";"77,36";"54,41";"78,75";"79,70";"49,41";"80,42"
"110029 SANTA LUZIA D\'OESTE";"49,06";"101,69";"110,20";"96,12";"101,94";"74,56";"81,25";"85,71";"11,11";"14,14";"12,12";"71,56"
"110030 VILHENA";"61,41";"104,41";"103,60";"104,51";"74,26";"80,17";"89,90";"70,65";"7,99";"18,54";"27,18";"68,00"
"110032 SAO MIGUEL DO GUAPORE";"101,57";"72,84";"87,32";"92,29";"75,21";"94,66";"97,85";"95,16";"57,22";"68,87";"47,55";"82,86"
"110033 NOVA MAMORE";"91,63";"104,18";"113,19";"111,76";"65,65";"68,13";"77,62";"55,03";"12,96";"53,43";"40,00";"73,15"
