,Municipio,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Total
0,110001,1601,1592,1556,1623,3652,3568,3101,2901,1782,812,328,22516
1,110002,8396,8262,8317,9490,20100,18822,15160,11695,6809,2991,1106,111148
2,110003,379,375,332,292,724,754,785,699,459,191,77,5067
3,110004,5846,5939,6065,6412,14391,14626,12374,10077,6509,2939,1238,86416
4,110005,1068,1097,1077,1094,2594,2648,2254,2129,1263,617,247,16088
5,110006,1008,1016,987,959,2263,2464,2235,1959,1359,670,293,15213
6,110007,484,481,434,457,1212,1164,1117,854,490,255,104,7052
7,110008,2027,1836,1606,1688,3647,2981,2489,1623,879,359,120,19255
8,110009,2565,2526,2478,2523,5439,5358,4760,3609,2316,1045,390,33009
9,110010,4369,4226,4041,4147,8095,7075,6001,4561,2612,1266,537,46930
10,110011,3811,3751,3670,4034,8536,8760,7306,5477,3584,1760,780,51469
11,110012,9334,9420,9679,10290,21715,22145,18466,14824,9458,4066,1629,131026
12,110013,3777,3659,3374,3374,7066,6613,5789,4085,2544,1096,347,41724
13,110014,1453,1413,1343,1473,3463,3218,3192,2433,1543,717,256,20504
14,110015,2454,2459,2446,2606,5659,5859,4970,4306,2742,1362,582,35445
15,110018,2659,2699,2799,3017,6380,6406,5163,4013,2487,1074,401,37098
16,110020,40997,40298,41794,46354,100011,101217,77119,54491,31271,11501,3899,548952
17,110025,1182,1197,1161,1199,2682,2855,2700,2404,1632,799,354,18165
18,110026,310,297,263,278,590,559,585,491,287,128,55,3843
19,110028,3906,3903,3922,4366,9544,9676,7949,6275,3812,1693,702,55748
20,110029,382,392,381,364,880,954,877,854,516,237,105,5942
21,110030,7970,7868,7954,8580,18356,18122,14605,10878,6484,2719,981,104517
22,110032,1892,1800,1665,1808,4129,3731,3249,2458,1504,677,234,23147
23,110033,3136,2966,2670,2766,5432,4958,4529,3012,1710,746,259,32184
24,110034,1003,980,937,973,2160,2082,2030,1734,1180,514,214,13807
25,110037,1129,1047,963,1070,2269,1909,1930,1516,860,432,143,13268
26,110040,1896,1832,1651,1760,3798,3366,3251,2445,1387,653,219,22258
27,110045,3654,3429,3207,3479,7076,6456,5485,3810,2651,1370,426,41043
28,110050,563,568,525,498,1201,1181,1263,1131,711,348,136,8125
29,110060,542,503,450,484,1008,931,855,702,479,256,97,6307
30,110070,1347,1234,1077,1155,2405,2245,2110,1483,870,358,107,14391
31,110080,2763,2479,2210,2335,4903,4488,3810,2613,1530,718,219,28068
32,110090,192,186,166,185,474,427,453,421,245,131,43,2923
33,110092,1111,1034,952,1006,2237,1890,1665,1079,502,218,61,11755
34,110094,2785,2523,2293,2547,5001,4377,3604,2345,1141,412,103,27131
35,110100,543,507,449,506,1127,1095,1064,877,558,294,110,7130
36,110110,1044,992,859,798,1931,1594,1451,1070,685,300,95,10819
37,110120,763,762,714,704,1543,1467,1296,1071,666,336,139,9461
38,110130,802,767,698,828,1773,1605,1508,1152,886,450,222,10691
39,110140,1362,1294,1156,1285,2744,2374,2270,1734,1144,579,216,16158
40,110143,509,508,491,498,1153,991,1039,819,503,227,84,6822
41,110145,545,528,496,489,1052,1084,818,711,373,169,54,6319
42,110146,212,184,154,154,337,317,307,245,146,55,16,2127
43,110147,182,181,156,178,443,384,398,373,230,121,51,2697
44,110148,327,321,288,299,739,742,762,651,468,263,102,4962
45,110149,1892,1755,1613,1714,3733,3149,2861,2080,1295,758,238,21088
46,110150,915,862,789,947,2053,1809,1710,1345,839,411,166,11846
47,110155,273,279,266,271,633,631,595,576,327,212,97,4160
48,110160,821,790,698,707,1591,1529,1601,1165,810,462,174,10348
49,110170,802,768,729,766,1681,1807,1618,1325,954,469,162,11081
50,110175,987,898,775,827,1844,1742,1708,1321,861,431,151,11545
51,110180,456,452,417,433,1038,952,990,869,530,257,96,6490
52,120001,1441,1426,1328,1388,2996,2306,2014,1411,808,444,159,15721
53,120005,856,822,804,757,1314,1065,890,563,339,164,75,7649
54,120010,2272,2353,2436,2564,4955,4221,3464,2368,1378,761,351,27123
55,120013,972,958,906,961,1930,1482,1358,916,661,323,105,10572
56,120017,1199,1154,1035,1167,2429,1550,1418,1142,690,367,129,12280
57,120020,8752,8877,9119,9399,16480,13703,10385,6068,3750,2169,1058,89760
58,120025,1588,1645,1731,1851,3507,2815,2336,1710,999,543,254,18979
59,120030,4137,4153,4028,3925,6319,4521,3344,2293,1247,721,298,34986
60,120032,1435,1240,1094,1044,1615,1053,661,274,132,51,29,8628
61,120033,2205,2169,2030,1917,3514,2885,2108,1275,836,485,219,19643
62,120034,1125,1075,1001,986,1766,1421,1079,613,360,179,96,9701
63,120035,2895,2705,2498,2428,3729,2378,1535,828,424,216,91,19727
64,120038,1833,1901,1847,1846,3405,2747,2429,2007,1234,624,274,20147
65,120039,1997,1857,1569,1398,2196,1493,1022,537,252,121,55,12497
66,120040,31183,33226,37940,42074,78364,68687,54954,36174,21933,10385,4532,419452
67,120042,2560,2367,2136,2246,3695,2620,2066,1110,552,304,111,19767
68,120043,1119,898,777,830,1324,909,511,349,120,45,11,6893
