"Unidade da Federacao";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11";140426;137135;135193;146090;157155;157352;155661;151496;137045;118182;104469;88302;68240;48643;31555;19369;11015;5130;2820;1815278
"12";83214;84343;87618;92500;89173;78398;70580;67465;60030;48564;39942;30926;24222;18407;12977;8864;5227;2692;1734;906876
"13";404001;408397;398684;385927;407298;377753;346674;326283;290296;237366;192564;153920;118789;86446;57795;37511;22187;11326;6778;4269995
"14";60910;56319;54588;53040;61022;65306;62404;56626;47152;36671;28952;22971;17482;12320;8094;4632;2508;1152;564;652713
"15";718036;723935;772978;803869;819458;773692;734309;700687;620096;515141;428236;342126;274087;208561;143950;96329;56667;28467;16500;8777124
"16";79738;80978;81327;83230;85763;81083;75552;69183;59277;49317;39067;29812;22779;16023;9904;6816;4110;2151;1503;877613
"17";126415;124661;129692;137035;142687;139038;132300;127297;117887;97906;84489;70154;55792;43629;31880;21589;14020;7236;3656;1607363
"21";586846;579928;635950;670322;664661;607787;583542;559971;488936;393242;336599;283425;229756;183817;135913;94677;61813;33405;22672;7153262
"22";236713;234733;250057;278333;291277;263658;261171;255056;239520;202211;181725;160714;132233;105830;80135;54058;34853;17210;9017;3288504
"23";654978;644554;666495;706774;805193;805194;787711;733590;656883;569955;523564;465329;359539;282547;226691;156678;107429;54708;33554;9241366
"24";236998;243302;253627;269763;292227;294941;307148;293966;260115;226131;213068;190081;144479;106465;89744;61580;41519;21075;14674;3560903
"25";285354;273522;294405;323079;333990;326092;322824;318717;298352;260288;238023;208749;164653;131963;108672;76353;52755;26242;15872;4059905
"26";683032;702236;720601;763735;813435;776198;773878;759251;710713;629518;563160;485080;392863;306967;239016;163054;106979;53716;31817;9675249
"27";250897;256875;274334;298435;313459;281692;258913;253893;238035;204806;183892;153752;123006;97755;72533;48840;29766;14976;9036;3364895
"28";169911;170200;176894;184298;206551;200938;197923;190377;172825;149416;134360;112325;87090;67026;49542;32800;20252;10347;5613;2338688
"29";1022444;1023216;1090279;1179443;1246323;1202565;1182053;1241976;1159650;971615;871278;748272;621155;482319;367694;258051;167507;89493;59737;14985070
"31";1327256;1325719;1323041;1458087;1662454;1701059;1709811;1700411;1613236;1422561;1341386;1254739;1088754;863892;634401;432193;286552;159452;106919;21411923
"32";288253;285957;274010;286722;313203;315794;335647;336877;313113;267573;245900;226363;195763;154494;106126;69984;46556;26841;19332;4108508
"33";1122005;1111252;1053317;1110129;1307080;1315413;1319445;1359675;1326041;1187361;1108256;1049595;936553;754258;560121;367920;241711;136715;96502;17463349
"35";3022036;3058542;2953362;3070987;3429921;3496503;3763557;3869470;3617789;3201967;2935322;2674059;2326367;1851855;1361395;893859;580946;322854;218341;46649132
"41";787904;776683;746523;789079;895868;922121;895055;875851;837906;780736;750501;685802;572946;455366;336170;225881;142785;76325;43982;11597484
"42";487323;473076;446319;465008;545483;593622;615307;609703;547208;490682;471064;445477;368229;286959;205900;131654;82409;44013;29037;7338473
"43";702546;704971;662720;740659;846967;863302;848007;874753;808047;731505;727445;736685;659549;539533;407210;273092;175369;98342;65928;11466630
"50";219250;218034;204158;206616;220692;229254;225158;222440;206331;184156;167360;151492;123364;94709;67305;45458;29145;15345;8921;2839188
"51";284173;274517;262493;270664;282125;292947;296064;291182;270608;237441;210796;180918;143324;104883;71490;45635;27310;13246;7418;3567234
"52";516405;525211;498075;518145;569037;594271;610561;598031;561566;493635;439469;374109;299201;227049;161693;106147;65857;32988;17797;7209247
"53";206217;191098;200424;237418;255292;255245;264391;279496;265760;222474;190705;158191;121960;92017;64995;40994;25944;12559;6487;3091667
