,ID_MUNICIP,GRUPO_IDADE,CASOS,VAC,N_VAC,I_VAC,SG_UF_NOT
0,110004,"(0, 4]",1,1.0,0.0,0.0,11
1,110012,"(29, 39]",1,0.0,1.0,0.0,11
2,110020,"(0, 4]",2,0.0,2.0,0.0,11
3,110020,"(39, 49]",1,0.0,0.0,1.0,11
4,110030,"(0, 4]",4,0.0,4.0,0.0,11
5,110030,"(19, 29]",2,1.0,1.0,0.0,11
6,110030,"(4, 9]",1,0.0,0.0,1.0,11
7,110146,"(0, 4]",1,1.0,0.0,0.0,11
8,110146,"(4, 9]",1,1.0,0.0,0.0,11
9,110146,"(9, 14]",2,2.0,0.0,0.0,11
10,130008,"(0, 4]",2,1.0,1.0,0.0,13
11,130008,"(39, 49]",1,0.0,1.0,0.0,13
12,130008,"(4, 9]",2,2.0,0.0,0.0,13
13,130008,"(9, 14]",2,1.0,1.0,0.0,13
14,130010,"(19, 29]",1,0.0,1.0,0.0,13
15,130020,"(0, 4]",3,3.0,0.0,0.0,13
16,130030,"(0, 4]",12,2.0,8.0,2.0,13
17,130030,"(14, 19]",4,2.0,2.0,0.0,13
18,130030,"(19, 29]",1,0.0,1.0,0.0,13
19,130030,"(29, 39]",2,0.0,2.0,0.0,13
20,130030,"(39, 49]",3,0.0,2.0,1.0,13
21,130030,"(4, 9]",2,2.0,0.0,0.0,13
22,130030,"(49, 59]",1,0.0,0.0,1.0,13
23,130040,"(19, 29]",1,1.0,0.0,0.0,13
24,130040,"(39, 49]",1,0.0,1.0,0.0,13
25,130063,"(0, 4]",7,0.0,7.0,0.0,13
26,130063,"(19, 29]",1,0.0,1.0,0.0,13
27,130063,"(29, 39]",2,1.0,0.0,1.0,13
28,130063,"(4, 9]",1,0.0,1.0,0.0,13
29,130063,"(49, 59]",1,0.0,1.0,0.0,13
30,130080,"(14, 19]",1,0.0,1.0,0.0,13
31,130083,"(0, 4]",2,1.0,1.0,0.0,13
32,130083,"(14, 19]",1,1.0,0.0,0.0,13
33,130083,"(19, 29]",1,0.0,1.0,0.0,13
34,130100,"(0, 4]",1,0.0,1.0,0.0,13
35,130110,"(0, 4]",4,1.0,2.0,1.0,13
36,130110,"(19, 29]",2,0.0,0.0,2.0,13
37,130110,"(29, 39]",2,1.0,0.0,1.0,13
38,130110,"(4, 9]",1,1.0,0.0,0.0,13
39,130110,"(49, 59]",1,0.0,0.0,1.0,13
40,130115,"(0, 4]",1,0.0,1.0,0.0,13
41,130115,"(14, 19]",1,1.0,0.0,0.0,13
42,130115,"(19, 29]",1,0.0,0.0,1.0,13
43,130115,"(39, 49]",1,0.0,1.0,0.0,13
44,130115,"(9, 14]",1,1.0,0.0,0.0,13
45,130120,"(0, 4]",48,12.0,36.0,0.0,13
46,130120,"(14, 19]",14,2.0,12.0,0.0,13
47,130120,"(19, 29]",15,1.0,14.0,0.0,13
48,130120,"(29, 39]",7,0.0,6.0,1.0,13
49,130120,"(39, 49]",3,0.0,3.0,0.0,13
50,130120,"(4, 9]",7,3.0,4.0,0.0,13
51,130120,"(9, 14]",9,1.0,8.0,0.0,13
52,130130,"(0, 4]",2,1.0,1.0,0.0,13
53,130130,"(14, 19]",1,0.0,1.0,0.0,13
54,130130,"(19, 29]",7,1.0,6.0,0.0,13
55,130130,"(4, 9]",1,0.0,1.0,0.0,13
56,130130,"(9, 14]",2,1.0,1.0,0.0,13
57,130130,nan,1,1.0,0.0,0.0,13
58,130160,"(14, 19]",1,1.0,0.0,0.0,13
59,130185,"(0, 4]",4,0.0,4.0,0.0,13
60,130185,"(14, 19]",4,0.0,3.0,1.0,13
61,130185,"(19, 29]",4,0.0,4.0,0.0,13
62,130185,"(29, 39]",4,1.0,3.0,0.0,13
63,130185,"(39, 49]",1,0.0,1.0,0.0,13
64,130190,"(0, 4]",51,13.0,37.0,1.0,13
65,130190,"(14, 19]",27,8.0,18.0,1.0,13
66,130190,"(19, 29]",22,3.0,18.0,1.0,13
67,130190,"(29, 39]",9,2.0,7.0,0.0,13
68,130190,"(39, 49]",8,0.0,7.0,1.0,13
69,130190,"(4, 9]",8,1.0,7.0,0.0,13
70,130190,"(49, 59]",3,1.0,2.0,0.0,13
71,130190,"(59, 69]",1,0.0,1.0,0.0,13
72,130190,"(9, 14]",11,4.0,6.0,1.0,13
73,130200,"(39, 49]",1,0.0,1.0,0.0,13
74,130220,"(0, 4]",24,8.0,16.0,0.0,13
75,130220,"(14, 19]",7,2.0,4.0,1.0,13
76,130220,"(19, 29]",7,2.0,5.0,0.0,13
77,130220,"(29, 39]",5,1.0,4.0,0.0,13
78,130220,"(39, 49]",6,0.0,6.0,0.0,13
79,130220,"(4, 9]",3,1.0,2.0,0.0,13
80,130220,"(49, 59]",2,0.0,2.0,0.0,13
81,130220,"(9, 14]",3,2.0,1.0,0.0,13
82,130230,"(19, 29]",1,0.0,1.0,0.0,13
83,130230,"(29, 39]",1,1.0,0.0,0.0,13
84,130240,"(0, 4]",5,2.0,3.0,0.0,13
85,130240,"(4, 9]",1,0.0,0.0,1.0,13
86,130250,"(0, 4]",327,63.0,264.0,0.0,13
87,130250,"(14, 19]",142,52.0,90.0,0.0,13
88,130250,"(19, 29]",223,58.0,165.0,0.0,13
89,130250,"(29, 39]",80,19.0,61.0,0.0,13
90,130250,"(39, 49]",31,6.0,25.0,0.0,13
91,130250,"(4, 9]",39,16.0,23.0,0.0,13
92,130250,"(49, 59]",15,1.0,14.0,0.0,13
93,130250,"(59, 69]",3,0.0,3.0,0.0,13
94,130250,"(9, 14]",33,15.0,18.0,0.0,13
95,130255,"(0, 4]",2,1.0,1.0,0.0,13
96,130255,"(14, 19]",1,0.0,0.0,1.0,13
97,130255,"(29, 39]",1,0.0,1.0,0.0,13
98,130255,"(49, 59]",2,0.0,2.0,0.0,13
99,130255,"(9, 14]",1,0.0,0.0,1.0,13
100,130260,"(0, 4]",2021,386.0,1529.0,106.0,13
101,130260,"(14, 19]",1551,484.0,969.0,98.0,13
102,130260,"(19, 29]",1845,286.0,1448.0,111.0,13
103,130260,"(29, 39]",753,113.0,593.0,47.0,13
104,130260,"(39, 49]",326,41.0,263.0,22.0,13
105,130260,"(4, 9]",310,93.0,193.0,24.0,13
106,130260,"(49, 59]",126,6.0,97.0,23.0,13
107,130260,"(59, 69]",12,1.0,11.0,0.0,13
108,130260,"(69, 79]",4,0.0,4.0,0.0,13
109,130260,"(9, 14]",352,85.0,247.0,20.0,13
110,130260,nan,5,0.0,5.0,0.0,13
111,130270,"(14, 19]",1,1.0,0.0,0.0,13
112,130290,"(0, 4]",12,1.0,11.0,0.0,13
113,130290,"(19, 29]",6,4.0,2.0,0.0,13
114,130290,"(29, 39]",3,1.0,2.0,0.0,13
115,130290,"(39, 49]",6,1.0,5.0,0.0,13
116,130290,"(4, 9]",1,0.0,1.0,0.0,13
117,130290,"(49, 59]",1,0.0,1.0,0.0,13
118,130300,"(0, 4]",2,0.0,2.0,0.0,13
119,130300,"(19, 29]",1,1.0,0.0,0.0,13
120,130300,"(29, 39]",1,0.0,1.0,0.0,13
121,130300,"(9, 14]",2,2.0,0.0,0.0,13
122,130310,"(0, 4]",3,1.0,2.0,0.0,13
123,130310,"(4, 9]",1,0.0,0.0,1.0,13
