,ID_MUNICIP,CASOS,VAC,N_VAC,I_VAC,SG_UF_NOT
0,110004,1,1.0,0.0,0.0,11
1,110012,1,0.0,1.0,0.0,11
2,110020,3,0.0,2.0,1.0,11
3,110030,7,1.0,5.0,1.0,11
4,110146,4,4.0,0.0,0.0,11
5,130008,7,4.0,3.0,0.0,13
6,130010,1,0.0,1.0,0.0,13
7,130020,3,3.0,0.0,0.0,13
8,130030,25,6.0,15.0,4.0,13
9,130040,2,1.0,1.0,0.0,13
10,130063,12,1.0,10.0,1.0,13
11,130080,1,0.0,1.0,0.0,13
12,130083,4,2.0,2.0,0.0,13
13,130100,1,0.0,1.0,0.0,13
14,130110,10,3.0,2.0,5.0,13
15,130115,5,2.0,2.0,1.0,13
16,130120,103,19.0,83.0,1.0,13
17,130130,14,4.0,10.0,0.0,13
18,130160,1,1.0,0.0,0.0,13
19,130185,17,1.0,15.0,1.0,13
20,130190,140,32.0,103.0,5.0,13
21,130200,1,0.0,1.0,0.0,13
22,130220,57,16.0,40.0,1.0,13
23,130230,2,1.0,1.0,0.0,13
24,130240,6,2.0,3.0,1.0,13
25,130250,893,230.0,663.0,0.0,13
26,130255,7,1.0,4.0,2.0,13
27,130260,7305,1495.0,5359.0,451.0,13
28,130270,1,1.0,0.0,0.0,13
29,130290,29,7.0,22.0,0.0,13
30,130300,6,3.0,3.0,0.0,13
31,130310,4,1.0,2.0,1.0,13
32,130320,26,2.0,23.0,1.0,13
33,130330,3,1.0,2.0,0.0,13
34,130340,17,3.0,14.0,0.0,13
35,130353,19,7.0,12.0,0.0,13
36,130356,26,5.0,13.0,8.0,13
37,130380,1,1.0,0.0,0.0,13
38,130406,1,1.0,0.0,0.0,13
39,130410,5,3.0,2.0,0.0,13
40,130420,37,10.0,19.0,8.0,13
41,130423,3,2.0,0.0,1.0,13
42,130430,1,0.0,1.0,0.0,13
43,140002,93,48.0,44.0,1.0,14
44,140010,196,82.0,103.0,11.0,14
45,140017,3,1.0,2.0,0.0,14
46,140020,1,0.0,1.0,0.0,14
47,140030,1,0.0,1.0,0.0,14
48,140045,58,15.0,34.0,9.0,14
49,140047,13,3.0,3.0,7.0,14
50,140050,2,0.0,2.0,0.0,14
51,150010,200,21.0,164.0,15.0,15
52,150020,32,5.0,25.0,2.0,15
53,150030,135,8.0,120.0,7.0,15
54,150040,1,0.0,1.0,0.0,15
55,150070,3,0.0,1.0,2.0,15
56,150080,992,175.0,539.0,278.0,15
57,150090,96,3.0,64.0,29.0,15
58,150095,1,0.0,1.0,0.0,15
59,150110,79,7.0,70.0,2.0,15
60,150130,65,5.0,24.0,36.0,15
61,150140,1546,138.0,1328.0,80.0,15
62,150150,54,10.0,30.0,14.0,15
63,150160,1,0.0,1.0,0.0,15
64,150170,54,7.0,31.0,16.0,15
65,150175,1,0.0,1.0,0.0,15
66,150180,198,18.0,154.0,26.0,15
67,150200,6,0.0,2.0,4.0,15
68,150210,135,9.0,85.0,41.0,15
69,150215,4,1.0,2.0,1.0,15
70,150220,16,4.0,8.0,4.0,15
71,150230,2,0.0,2.0,0.0,15
72,150240,77,15.0,35.0,27.0,15
73,150250,9,1.0,8.0,0.0,15
74,150275,9,2.0,6.0,1.0,15
75,150280,1,0.0,1.0,0.0,15
76,150285,8,1.0,2.0,5.0,15
77,150290,37,9.0,22.0,6.0,15
78,150300,1,1.0,0.0,0.0,15
79,150304,1,1.0,0.0,0.0,15
80,150307,3,1.0,2.0,0.0,15
81,150309,3,0.0,2.0,1.0,15
82,150320,18,1.0,14.0,3.0,15
83,150330,120,7.0,79.0,34.0,15
84,150340,5,1.0,2.0,2.0,15
85,150345,2,0.0,0.0,2.0,15
86,150350,4,2.0,1.0,1.0,15
87,150360,4,1.0,2.0,1.0,15
88,150370,1,0.0,1.0,0.0,15
89,150375,3,0.0,3.0,0.0,15
90,150390,7,1.0,5.0,1.0,15
91,150400,34,5.0,21.0,8.0,15
92,150405,76,17.0,34.0,25.0,15
93,150420,160,19.0,139.0,2.0,15
94,150430,1,1.0,0.0,0.0,15
95,150442,166,25.0,59.0,82.0,15
96,150450,34,4.0,22.0,8.0,15
97,150460,32,4.0,24.0,4.0,15
98,150470,137,44.0,76.0,17.0,15
99,150480,25,8.0,11.0,6.0,15
100,150490,19,2.0,17.0,0.0,15
101,150495,1,0.0,1.0,0.0,15
102,150506,36,0.0,35.0,1.0,15
103,150520,10,1.0,5.0,4.0,15
104,150548,1,1.0,0.0,0.0,15
105,150550,52,7.0,37.0,8.0,15
106,150553,80,7.0,52.0,21.0,15
107,150570,12,0.0,12.0,0.0,15
108,150580,127,0.0,127.0,0.0,15
109,150590,2,1.0,1.0,0.0,15
110,150600,40,10.0,24.0,6.0,15
111,150610,2,1.0,1.0,0.0,15
112,150613,1,0.0,1.0,0.0,15
113,150620,54,6.0,36.0,12.0,15
114,150630,1,0.0,1.0,0.0,15
115,150635,14,4.0,6.0,4.0,15
116,150640,30,2.0,13.0,15.0,15
117,150650,19,3.0,14.0,2.0,15
118,150660,4,0.0,3.0,1.0,15
119,150680,47,5.0,24.0,18.0,15
120,150700,3,0.0,2.0,1.0,15
121,150715,2,1.0,1.0,0.0,15
122,150720,37,12.0,23.0,2.0,15
123,150747,9,3.0,1.0,5.0,15
124,150750,1,0.0,1.0,0.0,15
125,150760,10,2.0,8.0,0.0,15
126,150770,30,4.0,25.0,1.0,15
127,150780,19,1.0,6.0,12.0,15
128,150790,8,2.0,4.0,2.0,15
129,150795,88,10.0,75.0,3.0,15
130,150796,1,0.0,0.0,1.0,15
131,150797,1,0.0,0.0,1.0,15
132,150800,5,2.0,0.0,3.0,15
133,150803,20,4.0,14.0,2.0,15
134,150810,6,1.0,5.0,0.0,15
135,150812,3,0.0,3.0,0.0,15
136,150820,5,1.0,3.0,1.0,15
137,150830,58,16.0,25.0,17.0,15
138,160015,2,1.0,1.0,0.0,16
139,160021,2,1.0,1.0,0.0,16
140,160023,2,0.0,2.0,0.0,16
141,160025,1,0.0,1.0,0.0,16
142,160030,642,75.0,482.0,85.0,16
143,160040,13,5.0,7.0,1.0,16
144,160050,18,7.0,11.0,0.0,16
145,160053,4,1.0,2.0,1.0,16
146,160060,217,12.0,146.0,59.0,16
147,160070,4,1.0,1.0,2.0,16
148,160080,1,0.0,0.0,1.0,16
149,170210,1,0.0,0.0,1.0,17
150,171820,2,0.0,2.0,0.0,17
151,210203,1,0.0,1.0,0.0,21
152,210290,19,3.0,12.0,4.0,21
153,210300,1,0.0,1.0,0.0,21
154,210330,1,0.0,0.0,1.0,21
155,210570,1,0.0,1.0,0.0,21
156,210600,1,0.0,1.0,0.0,21
157,210820,1,0.0,1.0,0.0,21
158,211130,4,3.0,1.0,0.0,21
159,211300,1,0.0,0.0,1.0,21
160,220110,1,1.0,0.0,0.0,22
161,220213,1,0.0,1.0,0.0,22
162,220557,3,1.0,0.0,2.0,22
163,220600,1,1.0,0.0,0.0,22
164,220635,1,1.0,0.0,0.0,22
165,220770,1,1.0,0.0,0.0,22
166,220800,2,1.0,1.0,0.0,22
167,220840,2,0.0,2.0,0.0,22
168,220995,1,1.0,0.0,0.0,22
169,221100,5,0.0,3.0,2.0,22
170,230015,1,1.0,0.0,0.0,23
171,230075,1,1.0,0.0,0.0,23
