,DATA_EPI,CASO
0,2010-31,1
1,2010-32,2
2,2010-33,1
3,2010-35,2
4,2010-37,1
5,2011-04,1
6,2011-09,1
7,2011-12,1
8,2011-14,1
9,2011-16,3
10,2011-17,2
11,2011-31,1
12,2011-41,1
13,2012-01,1
14,2012-52,1
15,2013-02,2
16,2013-11,1
17,2013-18,1
18,2013-20,3
19,2013-22,3
20,2013-28,1
21,2013-50,1
22,2014-05,1
23,2018-05,1
24,2018-06,3
25,2018-07,2
26,2018-08,11
27,2018-09,12
28,2018-10,56
29,2018-11,26
30,2018-12,27
31,2018-13,15
32,2018-14,11
33,2018-15,10
34,2018-16,9
35,2018-17,5
36,2018-18,11
37,2018-19,18
38,2018-20,4
39,2018-21,6
40,2018-24,5
41,2018-26,3
42,2018-27,1
43,2018-28,4
44,2018-29,5
45,2018-30,4
46,2018-31,7
47,2018-32,8
48,2018-33,3
49,2018-34,2
50,2018-35,6
51,2018-36,34
52,2018-37,3
53,2018-41,1
54,2018-42,1
55,2018-43,2
56,2018-46,1
57,2019-02,1
58,2019-03,1
59,2019-06,1
60,2019-10,1
61,2019-12,3
62,2019-13,1
63,2019-14,1
64,2019-26,1
65,2019-27,1
66,2019-29,2
67,2019-31,1
68,2019-32,2
69,2019-34,2
70,2019-42,1
71,2019-44,1
72,2019-46,1
73,2019-47,1
74,2019-49,1
75,2019-52,1
76,2020-01,1
77,2020-02,1
78,2020-06,1
79,2020-07,1
80,2020-08,1
81,2020-09,1
82,2020-18,1
