,DATA_EPI,CASO
0,2019-20,4
1,2019-21,4
2,2019-22,4
3,2019-23,1
4,2019-24,5
5,2019-25,10
6,2019-26,11
7,2019-27,20
8,2019-28,27
9,2019-29,35
10,2019-30,56
11,2019-31,41
12,2019-32,34
13,2019-33,17
14,2019-34,13
15,2019-35,20
16,2019-36,19
17,2019-37,8
18,2019-38,10
19,2019-39,7
20,2019-40,9
21,2019-41,9
22,2019-42,7
23,2019-43,7
24,2019-44,4
25,2019-45,2
26,2019-46,2
27,2019-47,2
28,2019-48,5
29,2019-51,4
30,2019-52,2
31,2020-01,3
32,2020-02,1
33,2020-03,2
34,2020-04,1
35,2020-05,2
36,2020-07,1
37,2020-08,1
38,2020-11,1
39,2020-13,1
40,2020-44,1
41,2020-46,1
