,DATA_EPI,CASO
0,2007-01,1
1,2007-02,1
2,2007-03,2
3,2007-09,1
4,2007-16,2
5,2007-18,1
6,2007-19,1
7,2007-22,1
8,2007-23,1
9,2007-26,1
10,2007-28,1
11,2007-32,1
12,2007-33,1
13,2007-34,1
14,2007-35,1
15,2007-37,1
16,2007-39,2
17,2007-40,1
18,2007-41,1
19,2007-43,1
20,2007-44,1
21,2007-45,1
22,2007-46,1
23,2007-49,2
24,2008-08,1
25,2008-09,1
26,2008-10,1
27,2008-12,1
28,2008-22,1
29,2008-29,2
30,2008-30,1
31,2008-31,1
32,2008-33,1
33,2008-35,4
34,2008-37,1
35,2008-44,1
36,2009-20,2
37,2009-37,1
38,2009-38,1
39,2009-47,1
40,2010-21,1
41,2010-27,1
42,2010-30,3
43,2010-31,1
44,2010-32,3
45,2010-33,6
46,2010-34,3
47,2010-35,10
48,2010-36,7
49,2010-37,7
50,2010-38,10
51,2010-39,5
52,2010-40,4
53,2010-41,4
54,2010-43,2
55,2010-44,4
56,2010-45,1
57,2010-46,1
58,2010-48,1
59,2011-04,1
60,2011-09,1
61,2011-11,1
62,2011-12,1
63,2011-13,1
64,2011-14,1
65,2011-16,3
66,2011-17,2
67,2011-18,2
68,2011-19,3
69,2011-20,1
70,2011-21,2
71,2011-22,2
72,2011-25,2
73,2011-30,1
74,2011-31,3
75,2011-32,1
76,2011-33,1
77,2011-34,5
78,2011-35,1
79,2011-36,1
80,2011-37,4
81,2011-38,1
82,2011-39,1
83,2011-40,2
84,2011-41,2
85,2011-42,1
86,2011-47,1
87,2011-51,1
88,2012-01,1
89,2012-24,1
90,2012-30,1
91,2012-52,1
92,2013-02,4
93,2013-05,1
94,2013-11,2
95,2013-12,1
96,2013-13,5
97,2013-14,3
98,2013-15,2
99,2013-16,5
100,2013-17,4
101,2013-18,12
102,2013-19,9
103,2013-20,10
104,2013-21,3
105,2013-22,8
106,2013-23,6
107,2013-24,7
108,2013-25,7
109,2013-26,3
110,2013-27,5
111,2013-28,4
112,2013-29,5
113,2013-30,6
114,2013-31,5
115,2013-32,2
116,2013-33,4
117,2013-34,2
118,2013-35,2
119,2013-37,1
120,2013-38,2
121,2013-39,1
122,2013-41,1
123,2013-42,2
124,2013-43,2
125,2013-44,4
126,2013-45,10
127,2013-46,9
128,2013-47,6
129,2013-48,13
130,2013-49,15
131,2013-50,9
132,2013-51,2
133,2013-52,5
134,2014-01,8
135,2014-02,15
136,2014-03,33
137,2014-04,51
138,2014-05,43
139,2014-06,29
140,2014-07,19
141,2014-08,12
142,2014-09,7
143,2014-10,9
144,2014-11,9
145,2014-12,4
146,2014-13,6
147,2014-14,6
148,2014-15,8
149,2014-16,7
150,2014-17,7
151,2014-18,4
152,2014-19,1
153,2014-20,6
154,2014-21,4
155,2014-22,5
156,2014-23,8
157,2014-24,8
158,2014-25,7
159,2014-26,18
160,2014-27,19
161,2014-28,18
162,2014-29,24
163,2014-30,37
164,2014-31,24
165,2014-32,40
166,2014-33,17
167,2014-34,26
168,2014-35,23
169,2014-36,24
170,2014-37,10
171,2014-38,8
172,2014-39,7
173,2014-40,12
174,2014-41,20
175,2014-42,21
176,2014-43,18
177,2014-44,13
178,2014-45,15
179,2014-46,15
180,2014-47,14
181,2014-48,15
182,2014-49,26
183,2014-50,17
184,2014-51,12
185,2014-52,24
186,2014-53,9
187,2015-01,20
188,2015-02,6
189,2015-03,13
190,2015-04,8
191,2015-05,15
192,2015-06,7
193,2015-07,15
194,2015-08,8
195,2015-09,5
196,2015-10,7
197,2015-11,10
198,2015-12,4
199,2015-13,6
200,2015-14,8
201,2015-15,14
202,2015-16,8
203,2015-17,2
204,2015-18,9
205,2015-19,8
206,2015-20,3
207,2015-21,4
208,2015-22,1
209,2015-23,1
210,2015-24,1
211,2015-25,1
212,2015-26,3
213,2015-32,2
214,2015-36,1
215,2015-47,1
216,2016-27,1
217,2017-27,1
218,2017-30,1
219,2017-47,1
220,2017-51,1
221,2018-05,1
222,2018-06,3
223,2018-07,4
224,2018-08,14
225,2018-09,20
226,2018-10,64
227,2018-11,43
228,2018-12,41
229,2018-13,42
230,2018-14,42
231,2018-15,51
232,2018-16,50
233,2018-17,43
234,2018-18,70
235,2018-19,143
236,2018-20,130
237,2018-21,194
238,2018-22,270
239,2018-23,354
240,2018-24,447
241,2018-25,511
242,2018-26,647
243,2018-27,827
244,2018-28,752
245,2018-29,835
246,2018-30,743
247,2018-31,632
248,2018-32,564
249,2018-33,442
250,2018-34,358
251,2018-35,223
252,2018-36,196
253,2018-37,149
254,2018-38,95
255,2018-39,78
256,2018-40,54
257,2018-41,56
258,2018-42,37
259,2018-43,31
260,2018-44,24
261,2018-45,15
262,2018-46,12
263,2018-47,7
264,2018-48,9
265,2018-49,5
266,2018-50,2
267,2018-52,2
268,2019-01,3
269,2019-02,7
270,2019-03,8
271,2019-04,5
272,2019-05,7
273,2019-06,10
274,2019-07,18
275,2019-08,17
276,2019-09,11
277,2019-10,11
278,2019-11,7
279,2019-12,7
280,2019-13,4
281,2019-14,6
282,2019-15,8
283,2019-16,10
284,2019-17,14
285,2019-18,15
286,2019-19,15
287,2019-20,18
288,2019-21,28
289,2019-22,42
290,2019-23,75
291,2019-24,118
292,2019-25,196
293,2019-26,283
294,2019-27,419
295,2019-28,579
296,2019-29,717
297,2019-30,1183
298,2019-31,1169
299,2019-32,1520
300,2019-33,1383
301,2019-34,1268
302,2019-35,1268
303,2019-36,1240
304,2019-37,1215
305,2019-38,1106
306,2019-39,880
307,2019-40,882
308,2019-41,816
309,2019-42,757
310,2019-43,632
311,2019-44,625
312,2019-45,563
313,2019-46,423
314,2019-47,410
315,2019-48,346
316,2019-49,321
317,2019-50,273
318,2019-51,283
319,2019-52,303
320,2020-01,380
321,2020-02,385
322,2020-03,453
323,2020-04,444
324,2020-05,481
325,2020-06,495
326,2020-07,568
327,2020-08,541
328,2020-09,587
329,2020-10,664
330,2020-11,648
331,2020-12,522
332,2020-13,449
333,2020-14,347
334,2020-15,183
335,2020-16,113
336,2020-17,55
337,2020-18,27
338,2020-19,17
339,2020-20,15
340,2020-21,13
341,2020-22,20
342,2020-23,9
343,2020-24,16
344,2020-25,10
345,2020-26,16
346,2020-27,14
347,2020-28,22
348,2020-29,24
349,2020-30,23
350,2020-31,17
351,2020-32,24
352,2020-33,27
353,2020-34,16
354,2020-35,21
355,2020-36,17
356,2020-37,25
357,2020-38,23
358,2020-39,28
359,2020-40,41
360,2020-41,19
361,2020-42,21
362,2020-43,21
363,2020-44,8
364,2020-45,20
365,2020-46,19
366,2020-47,15
367,2020-48,23
368,2020-49,25
369,2020-50,38
370,2020-51,22
371,2020-52,36
372,2020-53,34
373,2021-01,52
374,2021-02,30
375,2021-03,37
376,2021-04,37
377,2021-05,40
378,2021-06,30
379,2021-07,42
380,2021-08,26
381,2021-09,26
382,2021-10,12
383,2021-11,22
384,2021-12,19
385,2021-13,18
386,2021-14,17
387,2021-15,10
388,2021-16,18
389,2021-17,10
390,2021-18,9
391,2021-19,21
392,2021-20,9
393,2021-21,10
394,2021-22,4
395,2021-23,3
396,2021-24,3
397,2021-25,9
398,2021-26,11
399,2021-27,5
400,2021-28,4
401,2021-29,9
402,2021-30,3
403,2021-31,4
404,2021-32,5
405,2021-33,5
406,2021-34,9
407,2021-35,5
408,2021-36,4
409,2021-37,4
410,2021-38,8
411,2021-39,8
412,2021-40,2
413,2021-41,8
414,2021-42,3
415,2021-43,3
416,2021-44,4
417,2021-45,11
418,2021-46,7
419,2021-47,3
420,2021-48,5
421,2021-49,4
422,2021-50,2
423,2021-51,1
424,2022-01,2
425,2022-02,2
426,2022-03,3
427,2022-04,3
428,2022-05,1
429,2022-06,1
430,2022-07,1
431,2022-08,1
432,2022-09,2
433,2022-10,1
434,2022-11,1
435,2022-12,2
436,2022-13,4
437,2022-14,5
438,2022-15,3
439,2022-16,4
440,2022-17,4
441,2022-18,2
442,2022-19,4
443,2022-20,4
444,2022-21,3
445,2022-22,7
446,2022-23,1
447,2022-24,1
448,2022-28,1
449,2022-29,1
450,2022-33,1
451,2022-34,2
452,2022-35,1
453,2022-37,1
454,2022-39,4
455,2022-40,6
456,2022-41,2
457,2022-43,1
458,2022-45,1
