,DATA_EPI,CASO
0,2007-45,1
1,2019-11,1
2,2019-18,1
3,2019-20,1
4,2019-22,2
5,2019-23,3
6,2019-24,4
7,2019-25,2
8,2019-26,7
9,2019-27,6
10,2019-28,9
11,2019-29,24
12,2019-30,27
13,2019-31,41
14,2019-32,86
15,2019-33,73
16,2019-34,66
17,2019-35,60
18,2019-36,63
19,2019-37,62
20,2019-38,41
21,2019-39,33
22,2019-40,33
23,2019-41,27
24,2019-42,31
25,2019-43,18
26,2019-44,11
27,2019-45,18
28,2019-46,9
29,2019-47,11
30,2019-48,8
31,2019-49,5
32,2019-50,2
33,2019-51,2
34,2019-52,5
35,2020-01,2
36,2020-03,2
37,2020-05,3
38,2020-06,2
39,2020-07,8
40,2020-08,4
41,2020-09,4
42,2020-10,4
43,2020-11,2
44,2020-15,1
45,2020-24,1
46,2020-30,1
47,2020-32,1
