,DATA_EPI,CASO
0,2007-44,1
1,2010-30,2
2,2010-40,1
3,2011-31,2
4,2011-33,1
5,2011-34,1
6,2011-35,1
7,2011-36,1
8,2011-37,2
9,2011-38,1
10,2011-39,1
11,2011-40,2
12,2011-41,1
13,2011-42,1
14,2013-11,1
15,2013-13,1
16,2013-20,1
17,2014-03,1
18,2014-05,1
19,2014-06,2
20,2014-12,1
21,2015-08,1
22,2015-32,1
23,2018-28,1
24,2018-35,1
25,2018-41,1
26,2019-02,2
27,2019-04,1
28,2019-05,1
29,2019-06,1
30,2019-07,1
31,2019-08,3
32,2019-09,2
33,2019-10,2
34,2019-11,1
35,2019-12,5
36,2019-13,2
37,2019-14,4
38,2019-15,5
39,2019-16,5
40,2019-17,11
41,2019-18,6
42,2019-19,11
43,2019-20,10
44,2019-21,14
45,2019-22,29
46,2019-23,54
47,2019-24,68
48,2019-25,133
49,2019-26,195
50,2019-27,291
51,2019-28,393
52,2019-29,432
53,2019-30,665
54,2019-31,629
55,2019-32,790
56,2019-33,707
57,2019-34,621
58,2019-35,579
59,2019-36,521
60,2019-37,473
61,2019-38,442
62,2019-39,339
63,2019-40,377
64,2019-41,284
65,2019-42,233
66,2019-43,221
67,2019-44,183
68,2019-45,147
69,2019-46,87
70,2019-47,95
71,2019-48,49
72,2019-49,77
73,2019-50,64
74,2019-51,68
75,2019-52,58
76,2020-01,63
77,2020-02,38
78,2020-03,45
79,2020-04,26
80,2020-05,25
81,2020-06,17
82,2020-07,27
83,2020-08,24
84,2020-09,10
85,2020-10,31
86,2020-11,16
87,2020-12,4
88,2020-13,8
89,2020-14,6
90,2020-15,2
91,2020-16,1
92,2020-17,1
93,2020-18,4
94,2020-19,4
95,2020-20,3
96,2020-21,3
97,2020-22,2
98,2020-23,2
99,2020-24,1
100,2020-25,1
101,2020-26,3
102,2020-28,3
103,2020-29,5
104,2020-30,4
105,2020-31,2
106,2020-32,3
107,2020-33,2
108,2020-34,2
109,2020-35,1
110,2020-36,4
111,2020-39,1
112,2020-40,4
113,2020-42,2
114,2020-43,4
115,2020-44,1
116,2020-46,2
117,2020-48,1
118,2020-49,2
119,2020-53,2
120,2021-01,1
121,2021-33,1
122,2021-34,1
123,2021-45,1
124,2021-50,1
125,2022-01,1
126,2022-13,2
127,2022-18,1
128,2022-21,1
