"Ano Sintoma(s)";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-64";"65-69";"70-79";"80 e +";"Total"
"<1975";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"1979";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"1981";2;-;-;-;-;-;-;-;-;-;-;-;-;2
"1985";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"1989";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"1990";1;-;-;-;1;-;-;-;-;-;-;-;-;2
"1992";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"1993";2;-;-;-;-;-;-;-;-;-;-;-;-;2
"1994";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"1995";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"1996";2;-;-;-;-;-;-;-;-;-;-;-;-;2
"2000";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"2001";1;1;-;-;-;-;-;-;-;-;-;-;-;2
"2002";1;-;-;-;1;-;-;-;-;-;-;-;-;2
"2005";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"2006";5;2;-;2;3;32;9;4;1;1;-;-;-;59
"2007";288;279;170;250;798;4318;1560;470;171;20;10;7;5;8346
"2008";116;139;108;93;204;929;468;149;26;7;1;2;3;2245
"2009";12;12;4;7;2;9;4;3;-;-;-;-;-;53
"2010";18;22;13;10;11;18;12;6;3;-;-;-;-;113
"2011";15;9;8;9;5;15;2;5;-;-;-;-;-;68
"2012";3;1;-;2;2;2;1;1;-;-;-;-;-;12
"2013";103;46;7;14;6;24;6;10;1;1;-;-;-;218
"2014";286;104;29;82;98;151;60;31;18;1;-;-;-;860
"2015";65;29;12;7;23;53;22;14;6;-;-;-;-;231
"2016";2;2;-;-;5;8;3;-;-;-;-;1;-;21
"2017";2;9;2;-;-;5;3;-;-;-;-;-;-;21
"2018";1692;1120;455;473;1843;2243;918;413;162;9;9;4;1;9342
"2019";3808;2960;565;421;2932;6846;2771;806;484;54;21;11;4;21683
"2020";1275;767;312;328;1471;2415;891;313;152;16;4;4;1;7949
"2021";259;190;43;20;36;99;22;9;7;-;-;-;2;687
"2022";41;46;8;6;3;9;9;4;1;-;-;-;-;127
"Total";8006;5738;1736;1725;7444;17176;6761;2239;1032;109;45;29;16;52056
